t	V	n	m	h
3.55	-69.7266	0.280837	0.0299916	0.635622
3.56	-69.7274	0.280738	0.0299866	0.635753
3.57	-69.7282	0.280639	0.0299817	0.635885
3.58	-69.7289	0.28054	0.029977	0.636016
3.59	-69.7296	0.280442	0.0299723	0.636148
3.6	-69.7303	0.280343	0.0299678	0.636279
3.61	-69.7309	0.280245	0.0299633	0.63641
3.62	-69.7316	0.280147	0.029959	0.636541
3.63	-69.7322	0.280049	0.0299548	0.636672
3.64	-69.7327	0.279951	0.0299507	0.636803
3.65	-69.7333	0.279853	0.0299467	0.636933
3.66	-69.7338	0.279756	0.0299428	0.637064
3.67	-69.7343	0.279659	0.029939	0.637194
3.68	-69.7348	0.279562	0.0299353	0.637324
3.69	-69.7352	0.279465	0.0299317	0.637454
3.7	-69.7357	0.279368	0.0299283	0.637584
3.71	-69.7361	0.279271	0.0299249	0.637714
3.72	-69.7365	0.279175	0.0299216	0.637843
3.73	-69.7368	0.279079	0.0299184	0.637973
3.74	-69.7371	0.278983	0.0299154	0.638102
3.75	-69.7375	0.278887	0.0299124	0.638231
3.76	-69.7377	0.278791	0.0299095	0.63836
3.77	-69.738	0.278695	0.0299067	0.638489
3.78	-69.7383	0.2786	0.029904	0.638618
3.79	-69.7385	0.278505	0.0299014	0.638746
3.8	-69.7387	0.27841	0.0298989	0.638875
3.81	-69.7389	0.278315	0.0298965	0.639003
3.82	-69.739	0.27822	0.0298942	0.639131
3.83	-69.7392	0.278126	0.029892	0.639259
3.84	-69.7393	0.278032	0.0298899	0.639387
3.85	-69.7394	0.277938	0.0298878	0.639515
3.86	-69.7394	0.277844	0.0298859	0.639642
3.87	-69.7395	0.27775	0.029884	0.63977
3.88	-69.7395	0.277656	0.0298823	0.639897
3.89	-69.7395	0.277563	0.0298806	0.640024
3.9	-69.7395	0.27747	0.029879	0.640151
3.91	-69.7395	0.277377	0.0298775	0.640278
3.92	-69.7395	0.277284	0.0298761	0.640405
3.93	-69.7394	0.277191	0.0298747	0.640531
3.94	-69.7393	0.277099	0.0298735	0.640657
3.95	-69.7392	0.277006	0.0298723	0.640784
3.96	-69.7391	0.276914	0.0298713	0.64091
3.97	-69.7389	0.276822	0.0298703	0.641035
3.98	-69.7388	0.27673	0.0298694	0.641161
3.99	-69.7386	0.276639	0.0298685	0.641287
4	-69.7384	0.276547	0.0298678	0.641412
4.01	-69.7381	0.276456	0.0298671	0.641538
4.02	-69.7379	0.276365	0.0298665	0.641663
4.03	-69.7376	0.276274	0.029866	0.641788
4.04	-69.7374	0.276183	0.0298656	0.641912
4.05	-69.7371	0.276093	0.0298652	0.642037
4.06	-69.7368	0.276002	0.029865	0.642161
4.07	-69.7364	0.275912	0.0298648	0.642286
4.08	-69.7361	0.275822	0.0298646	0.64241
4.09	-69.7357	0.275732	0.0298646	0.642534
4.1	-69.7353	0.275643	0.0298646	0.642658
4.11	-69.7349	0.275553	0.0298647	0.642781
4.12	-69.7345	0.275464	0.0298649	0.642905
4.13	-69.7341	0.275375	0.0298651	0.643028
4.14	-69.7336	0.275286	0.0298655	0.643152
4.15	-69.7332	0.275197	0.0298659	0.643275
4.16	-69.7327	0.275109	0.0298663	0.643398
4.17	-69.7322	0.275021	0.0298669	0.64352
4.18	-69.7316	0.274932	0.0298675	0.643643
4.19	-69.7311	0.274844	0.0298681	0.643765
4.2	-69.7306	0.274757	0.0298689	0.643887
4.21	-69.73	0.274669	0.0298697	0.644009
4.22	-69.7294	0.274581	0.0298706	0.644131
4.23	-69.7288	0.274494	0.0298715	0.644253
4.24	-69.7282	0.274407	0.0298726	0.644375
4.25	-69.7276	0.27432	0.0298736	0.644496
4.26	-69.7269	0.274233	0.0298748	0.644617
4.27	-69.7263	0.274147	0.029876	0.644738
4.28	-69.7256	0.274061	0.0298773	0.644859
4.29	-69.7249	0.273974	0.0298786	0.64498
4.3	-69.7242	0.273888	0.02988	0.645101
4.31	-69.7235	0.273803	0.0298815	0.645221
4.32	-69.7228	0.273717	0.0298831	0.645341
4.33	-69.722	0.273631	0.0298847	0.645461
